"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"455","60026","443","172.24.21.152","172.217.4.196","273316","null","53","false","false","null"
"456","443","60026","172.217.4.196","172.24.21.152","273316","A48E615F80225108","26","false","false","null"
"457","60026","443","172.24.21.152","172.217.4.196","273321","null","54","false","false","null"
"458","60026","443","172.24.21.152","172.217.4.196","273321","null","55","false","false","null"
"459","60026","443","172.24.21.152","172.217.4.196","273321","null","56","false","false","null"
"460","443","60026","172.217.4.196","172.24.21.152","273321","A48E615F80225108","27","false","false","null"
"461","443","60026","172.217.4.196","172.24.21.152","273321","A48E615F80225108","28","false","false","null"
"462","60026","443","172.24.21.152","172.217.4.196","273323","null","57","false","false","null"
"463","60026","443","172.24.21.152","172.217.4.196","273323","null","58","false","false","null"
"464","60026","443","172.24.21.152","172.217.4.196","273323","null","59","false","false","null"
"465","443","60026","172.217.4.196","172.24.21.152","273323","A48E615F80225108","29","false","false","null"
"466","60026","443","172.24.21.152","172.217.4.196","273326","null","60","false","false","null"
"467","60026","443","172.24.21.152","172.217.4.196","273326","null","61","false","false","null"
"468","60026","443","172.24.21.152","172.217.4.196","273326","null","62","false","false","null"
"469","60026","443","172.24.21.152","172.217.4.196","273326","null","63","false","false","null"
"470","443","60026","172.217.4.196","172.24.21.152","273326","A48E615F80225108","30","false","false","null"
"471","443","60026","172.217.4.196","172.24.21.152","273326","A48E615F80225108","31","false","false","null"
"472","60026","443","172.24.21.152","172.217.4.196","273332","null","64","false","false","null"
"473","60026","443","172.24.21.152","172.217.4.196","273332","null","65","false","false","null"
"474","60026","443","172.24.21.152","172.217.4.196","273332","null","66","false","false","null"
"475","60026","443","172.24.21.152","172.217.4.196","273332","null","67","false","false","null"
"476","60026","443","172.24.21.152","172.217.4.196","273332","null","68","false","false","null"
"477","443","60026","172.217.4.196","172.24.21.152","273333","A48E615F80225108","32","false","false","null"
"478","443","60026","172.217.4.196","172.24.21.152","273333","A48E615F80225108","33","false","false","null"
"479","443","60026","172.217.4.196","172.24.21.152","273333","A48E615F80225108","34","false","false","null"
"480","60026","443","172.24.21.152","172.217.4.196","273335","null","69","false","false","null"
"481","60026","443","172.24.21.152","172.217.4.196","273335","null","70","false","false","null"
"482","60026","443","172.24.21.152","172.217.4.196","273335","null","71","false","false","null"
"483","60026","443","172.24.21.152","172.217.4.196","273335","null","72","false","false","null"
"484","60026","443","172.24.21.152","172.217.4.196","273335","null","73","false","false","null"
"485","60026","443","172.24.21.152","172.217.4.196","273335","null","74","false","false","null"
"486","60026","443","172.24.21.152","172.217.4.196","273335","null","75","false","false","null"
"487","60026","443","172.24.21.152","172.217.4.196","273335","null","76","false","false","null"
"488","60026","443","172.24.21.152","172.217.4.196","273335","null","77","false","false","null"
"489","60026","443","172.24.21.152","172.217.4.196","273335","null","78","false","false","null"
"490","60026","443","172.24.21.152","172.217.4.196","273335","null","79","false","false","null"
"491","443","60026","172.217.4.196","172.24.21.152","273335","A48E615F80225108","35","false","false","null"
"492","60026","443","172.24.21.152","172.217.4.196","273335","null","80","false","false","null"
"493","443","60026","172.217.4.196","172.24.21.152","273335","A48E615F80225108","36","false","false","null"
"494","443","60026","172.217.4.196","172.24.21.152","273335","A48E615F80225108","37","false","false","null"
"495","443","60026","172.217.4.196","172.24.21.152","273335","A48E615F80225108","38","false","false","null"
"496","443","60026","172.217.4.196","172.24.21.152","273335","A48E615F80225108","39","false","false","null"
"497","443","60026","172.217.4.196","172.24.21.152","273336","A48E615F80225108","40","false","false","null"
"498","60026","443","172.24.21.152","172.217.4.196","273337","null","81","false","false","null"
"499","60026","443","172.24.21.152","172.217.4.196","273337","null","82","false","false","null"
"500","60026","443","172.24.21.152","172.217.4.196","273337","null","83","false","false","null"
"501","60026","443","172.24.21.152","172.217.4.196","273337","null","84","false","false","null"
"502","60026","443","172.24.21.152","172.217.4.196","273337","null","85","false","false","null"
"503","60026","443","172.24.21.152","172.217.4.196","273337","null","86","false","false","null"
"504","60026","443","172.24.21.152","172.217.4.196","273337","null","87","false","false","null"
"505","60026","443","172.24.21.152","172.217.4.196","273337","null","88","false","false","null"
"506","60026","443","172.24.21.152","172.217.4.196","273337","null","89","false","false","null"
"507","443","60026","172.217.4.196","172.24.21.152","273337","A48E615F80225108","41","false","false","null"
"508","443","60026","172.217.4.196","172.24.21.152","273337","A48E615F80225108","42","false","false","null"
"509","443","60026","172.217.4.196","172.24.21.152","273337","A48E615F80225108","43","false","false","null"
"510","443","60026","172.217.4.196","172.24.21.152","273338","A48E615F80225108","44","false","false","null"
"511","60026","443","172.24.21.152","172.217.4.196","273347","null","90","false","false","null"
"512","60026","443","172.24.21.152","172.217.4.196","273347","null","91","false","false","null"
"513","60026","443","172.24.21.152","172.217.4.196","273347","null","92","false","false","null"
"514","443","60026","172.217.4.196","172.24.21.152","273347","A48E615F80225108","45","false","false","null"
"515","443","60026","172.217.4.196","172.24.21.152","273348","A48E615F80225108","46","false","false","null"
"516","60026","443","172.24.21.152","172.217.4.196","273350","null","93","false","false","null"
"517","60026","443","172.24.21.152","172.217.4.196","273350","null","94","false","false","null"
"518","60026","443","172.24.21.152","172.217.4.196","273350","null","95","false","false","null"
"519","443","60026","172.217.4.196","172.24.21.152","273350","A48E615F80225108","47","false","false","null"
"520","60026","443","172.24.21.152","172.217.4.196","273355","null","96","false","false","null"
"521","60026","443","172.24.21.152","172.217.4.196","273355","null","97","false","false","null"
"522","60026","443","172.24.21.152","172.217.4.196","273355","null","98","false","false","null"
"523","443","60026","172.217.4.196","172.24.21.152","273355","A48E615F80225108","48","false","false","null"
"524","443","60026","172.217.4.196","172.24.21.152","273355","A48E615F80225108","49","false","false","null"
"525","60026","443","172.24.21.152","172.217.4.196","273357","null","100","false","false","null"
