"website","QUIC","SPDY","HTTP"
"google.com","98000","90000","88000"
"gmail.com","946000","184000","16000"
"google translate","119000","20000","40000"
"google image search","249000","403000","76000"
"youtube","974000","10000","8000"
"Flags","null","205000","39000"
"facebook.com","null","145000","41000"
"linkedin.com","null","18000","23000"
"twitter.com","null","20000","15000"
"en.wikipedia.com","null","386000","12000"
