website,QUIC,SPDY,HTTP
Google,98000,90000,88000
Gmail,546000,184000,16000
Gtranslate,119000,20000,40000
Gimage,249000,403000,76000
Youtube,574000,10000,8000
Flags,0,205000,39000
Facebook,0,145000,41000
Linkedin,0,18000,23000
Twitter,0,20000,15000
Wikipedia,0,386000,12000
